YY,DD,MM,Kick-off,Date of the game,,Country,League,Seasons,ToG,Teams ,,Teams ID,,FT +OT Scores,,,,,,Draw,,,1 q ,,,OT Money Line,,OT Money Line,,OT Money Line,
,,,,GMT (UTC +0),PST (UTC -8),,,,,Home,Away,H,A,H,A,W,215.5,AH,TG,,H,A,H,A,R,matchbook,,pinnacle,,bet365,
,,,,,,,,,,,,,,,,,,,,,,,,,,H,A,H,A,H,A
2019,20,Apr,19:00,4/20/2019 19:00,4/20/2019 11:00,USA,NBA,2018/2019,Play Offs,Brooklyn Nets,Philadelphia 76ers,BKN,PHI,108,112,A,O,4,220,,,,33,24,H,2.01,1.64,2.22,1.74,2.20,1.71
2019,20,Apr,1:30,4/20/2019 1:30,4/19/2019 17:30,USA,NBA,2018/2019,Play Offs,Oklahoma City Thunder,Portland Trail Blazers,OKC,POR,120,108,H,O,12,228,,,,21,22,A,1.33,3.75,1.33,3.70,1.31,3.55
2019,20,Apr,0:30,4/20/2019 0:30,4/19/2019 16:30,USA,NBA,2018/2019,Play Offs,Indiana Pacers,Boston Celtics,IND,BOS,96,104,A,U,8,200,,,,28,41,A,1.58,2.13,1.68,2.33,1.68,2.25
2019,19,Apr,23:00,4/19/2019 23:00,4/19/2019 15:00,USA,NBA,2018/2019,Play Offs,Orlando Magic,Toronto Raptors,ORL,TOR,93,98,A,U,5,191,,,,21,26,A,2.32,1.45,2.54,1.58,2.50,1.58
2019,19,Apr,2:30,4/19/2019 2:30,4/18/2019 18:30,USA,NBA,2018/2019,Play Offs,Los Angeles Clippers,Golden State Warriors,LAC,GSW,105,132,A,O,27,237,,,,24,41,A,3.78,1.33,3.73,1.32,3.75,1.28
2019,19,Apr,1:00,4/19/2019 1:00,4/18/2019 17:00,USA,NBA,2018/2019,Play Offs,San Antonio Spurs,Denver Nuggets,SAS,DEN,118,108,H,O,10,226,,,,31,22,H,1.60,2.15,1.67,2.35,1.76,2.10
2019,19,Apr,0:00,4/19/2019 0:00,4/18/2019 16:00,USA,NBA,2018/2019,Play Offs,Brooklyn Nets,Philadelphia 76ers,BKN,PHI,115,131,A,O,16,246,,,,24,32,A,2.16,1.68,2.27,1.71,2.20,1.71
2019,18,Apr,1:30,4/18/2019 1:30,4/17/2019 17:30,USA,NBA,2018/2019,Play Offs,Houston Rockets,Utah Jazz,HOU,UTA,118,98,H,O,20,216,,,,39,19,H,1.31,2.83,1.39,3.27,1.38,3.15
2019,18,Apr,0:00,4/18/2019 0:00,4/17/2019 16:00,USA,NBA,2018/2019,Play Offs,Milwaukee Bucks,Detroit Pistons,MIL,DET,120,99,H,O,21,219,,,,38,27,H,1.06,13.00,1.06,12.51,1.06,10.50
2019,17,Apr,23:00,4/17/2019 23:00,4/17/2019 15:00,USA,NBA,2018/2019,Play Offs,Boston Celtics,Indiana Pacers,BOS,IND,99,91,H,U,8,190,,,,29,33,A,1.25,3.14,1.34,3.59,1.29,3.70
2019,17,Apr,2:30,4/17/2019 2:30,4/16/2019 18:30,USA,NBA,2018/2019,Play Offs,Portland Trail Blazers,Oklahoma City Thunder,POR,OKC,114,94,H,U,20,208,,,,26,31,A,1.67,2.05,1.78,2.17,1.71,2.20
